text,label
"soy protein isolate, invert evaporated cane syrup, sugar, tapioca syrup, cocoa, fractionated palm kernel oil, chicory root fiber, unsweetened chocolate, sunflower oil, water, casein, whey protein isolate, tapioca starch, calcium caseinate, natural flavor, soy lecithin, salt, maltodextrin, whey . vitamins and minerals calcium carbonate, calcium phosphate, ascorbic acid, alphatocopherol acetate, vitamin a acetate, cholecalciferol.",Snacks
"peanuts, seasoning, peanut oil.",Snacks
"sugar, glucose syrup, glucosefructose syrup, cream, condensed whey, butter, condensed skim milk, cane sugar syrup, salt, butterfat, whey product, soy lecithin emulsifier, artificial flavor.",Snacks
"enriched bleached wheat flour, sugar, yellow corn meal, soybean oil, leavening, salt, honey & xanthan gum.",Snacks
"unbleached wheat flour, olive oil, sea salt.",Snacks
"product contains raisins, peanuts, dates, partially hydrogenated soybean and cottonseed oil), yogurt chips, and vanilla), cashews, almonds, vegetable oil .",Snacks
"enriched flour, sugar, vegetable shortening, high fructose corn syrup, water, corn syrup, dried whey, dried eggs, baking powder, emulsifier [water, sorbitan monostearate, polysorbate, mono & diglycerides, sodium propionate, phosphoric acid], natural and artificial flavors, salt, leavening, soy lecithin, sorbitol, artificial colors . filled with corn syrup, water, red raspberries, sugar, dextrose, food starchmodified, citric acid, sodium alginate, gellan gum, potassium sorbate, sodium propionate & sodium benzoate, sodium citrate, salt, artificial flavor, red and blue .",Snacks
"whole grain oats, sugar, dried raspberries, dried strawberries, natural flavor, tricalcium phosphate, salt, beet juice concentrate, iron, vitamin d .",Plant-based foods and beverages
"filtered water, sugar, citric acid, sodium benzoate, potassium sorbate, ascorbic acid, natural and artificial flavor, sucralose, calcium disodium edta, and fd&c blue no. .",Beverages
"cultured butter, lactic acid cultures), salt.",Dairies
"confection coating, pretzels }, folic acid], vegetable oil [canola and/or cottonseed and/or soybean], salt, malt, corn syrup sodium bicarbonate yeast).",Snacks
"enriched bleached flour, sugar, dextrose, leavening, soy flour, soybean oil, salt buttermilk, sodium stearoyl lactylate.",Snacks
"pistachios, almonds, cashews, peanut and/or cottonseed oil, sea salt",Plant-based foods and beverages
"pasteurized whole milk, vinegar, vegetable enzymes, finished in light sea salt bath",Dairies
"sugar, chocolate liquor, orange pieces [orange pulp, sucrose, apple, dextrose, pineapple fibers, citric acid, sodium alginate, dicalcium phosphate, natural orange flavor], cocoa butter, soy lecithin, vanillin .",Snacks
"compound chocolate, vanillin & artificial flavors); sugar; titanium dioxide ; gum arabic; tapioca dextrin; carnauba wax; fd&c yellow #; fd&c yellow #; fd&c red #; fd&c blue #.",Snacks
"organic cultured pasteurized milk, salt, microbial enzymes.",Dairies
"light tuna, water, vegetable broth, salt",Seafood
"sprouted grains, whole grain wheat flour, water, wheat flour, organic whole grain spelt flour, whole grain rye flour, kamut flour, betaglucan fiber from barley or oats, rolled oats, sunflower seeds, wheat gluten, yeast, apple cider vinegar, sea salt, cultured wheat starch, sourdough .",Plant-based foods and beverages
"carbonated water, high fructose corn syrup, citric acid, sodium benzoate, natural flavors, caramel color.",Beverages
"beef, water, contains or less of salt, vinegar, yeast extract, natural flavorings, sugar, citrus extract. coated with salt, natural flavorings, herb extract, sugar.",Meats and their products
"filtered water, sugar, cranberry juice, apple juice, strawberry juice, citric acid, vegetable concentrate for color, natural flavor, sodium citrate, fumaric acid, ascorbic acid",Plant-based foods and beverages
"corn syrup, sugar, titanium dioxide, peppermint oil, red, red, blue, yellow .",Snacks
"semidry cherry tomato, sunflower oil, extra virgin olive oil, salt, basil, garlic, wine vinegar, citric acid.",Salted snacks
"yellow corn, sunflower oil, whey, maltodextrin, cheddar and blue cheese, canola oil, salt, citric acid, lactic acid",Snacks
"whole grain oats, unbleached wheat flour, prune puree, evaporated cane sugar, caramel, dried apples, unsweetened applesauce, brown rice syrup, water, expeller pressed canola oil, molasses, inulin, baking soda, baking powder, cinnamon, sea salt.",Snacks
"green and yellow split peas, soup base, chicken broth, , whey, parsley, caramel color), carrots, onions, tomatoes, celery, leeks.",Meals
"potatoes, vegetable oil, whey, cultured skim milk, maltodextrin, salt, dextrose, sour cream, lactic acid, onion powder, monosodium glutamate, whey protein concentrate, parsley, nonfat dry milk, citric acid, artificial flavor.",Snacks
coconut water.,Plant-based foods and beverages
"pasteurized grade a goat milk, cultures, rennet, salt, natamycin.",Dairies
"whole wheat flour, water, liquid sugar, wheat gluten, contains percent or less of yeast, soybean and/or canola oil, sea salt, molasses, dough conditioners, mono and diglycerides, calcium propionate, cultured wheat, vinegar, enzymes.",Plant-based foods and beverages
"filtered carbonated water, bai proprietary sweetener blend, natural lemon and lime flavors with other natural flavors, citric acid, white tea extract, malic acid, coffeefruit extract, vitamin c, sodium citrate.",Beverages
"orgain organic protein blend [organic brown rice protein, organic protein crisps, organic ground chia seeds], organic tapioca syrup, organic isomaltooligosaccharide, organic almonds, organic chocolate chunks, organic erythritol, organic marshmallow flavor, organic vegetable glycerin, organic graham flavor, sea salt, organic sunflower lecithin",Snacks
"pepperoncini, pepper strips, spanish olives, cauliflower, carrots, celery pitted green olives, pitted black olives, canola oil, water, salt, vinegar, contains less than of lactic acid, citric acid, acetic acid, ascorbic acid, sodium benzoate, sodium metabisulfite, calcium chloride, pimentos, sodium alginate, guar gum, spices, ferrous gluconate, potassium sorbate.",Meals
"salt, garlic, paprika, onion, and spices .",Condiments
"whole grain brown rice, corn, cheese flavor blend, sunflower oil.",Snacks
whole grain stone ground rye flour,Plant-based foods and beverages
"capers, water, vinegar, salt.",Salted snacks
"sugar, whey, enriched bleached wheat flour, dextrose, glucosefructose, hydrogenated palm kernel oil, palm and soybean oil shortening, corn syrup, powdered egg whites, cocoa, powdered whole eggs, wheat protein isolate, wheat flour, caramel, salt, baking powder, malt extract, propylene glycol esters of fatty acids, monoglycerides, stearoyl lactylic acid, modified cornstarch, powdered egg yolks, guar gum, water, maltodextrin, natural and artificial flavors, polysorbate, cellulose gum, titanium dioxide, enzymes, soy lecithin, mono and diglycerides, phosphoric acid, sodium propionate, sorbic acid, potassium sorbate.",Snacks
"enriched bleached wheat flour, sugar, palm oil, eggs, contains or less of leavening, salt, natural and artificial flavor with bht, soy lecithin, colors, confectioner's glaze, carnauba wax.",Snacks
"almonds, peanut oil, salt.",Plant-based foods and beverages
"enriched flour, peanut butter, sugar, peanuts, vegetable oil, corn syrup, whole eggs, invert sugar, fruit paste, fructose, honey, natural flavors, leavening, nonfat dry milk, modified cornstarch, salt.",Snacks
"carbonated water, cane sugar mandarin and tangerine oils, natural orange flavors, citric acid, acacia gum, ester gum, sodium benzoate, yellow for color.",Beverages
"ice cream, icing, chocolate crunch, cocoa powder, soy & coconut oils, candy, natural & artificial vanilla flavor.",Desserts
"young coconut juice, water, young coconut pulp, sugar from cane sugar syrup, sodium metabisulphite .",Plant-based foods and beverages
"cauliflower, water, cucumber, almonds, cashews, lemon juice, garlic, apple cider vinegar, dill, sea salt, mint, chia protein, contains almonds, cashews",Condiments
"soymilk, cane sugar, natural flavor, sea salt, carrageenan. vitamins & minerals calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d, riboflavin, vitamin b.",Plant-based foods and beverages
"water, sugar, lemon juice from concentrate, citric acid, ascorbic acid to protect color, natural flavors, chokeberry juice from concentrate for coloring, potassium sorbate to maintain freshness, modified food starch, ester gum.",Beverages
"whole grain oats, sugar, oat bran, corn starch, honey, brown sugar syrup, salt, tripotassium phosphate, canola oil, natural almond flavor, vitamin e added to preserve freshness, vitamins and minerals calcium carbonate, zinc and iron, vitamin c, a b vitamin, vitamin b, vitamin b, vitamin b, vitamin a, a b vitamin, vitamin b, vitamin d,",Plant-based foods and beverages
"milk, cream, cane sug natural flavors. total carbohydrate g chobani, llc, new berlin, ny saturated fat g cholesterol <mg sodium mg total sugars g added sugars g protein og not a significant source of trans fat, dietary fiber, vitamin d, calcium, iron, and potassium. keep refrigerated gradea (u",Plant-based foods and beverages
"milk, water, potatoes, clams, celery, carrots, onions, clam base, water, potato flour, hydrolyzed wheat protein, onion powder, maltodextrin, garlic powder, disodium inosinate, disodium guanylate, spices, yeast extract, sunflower oil, soy sauce, citric acid), modified food starch, bacon, soybean oil, white pepper, bay leaf.",Meals
"milk chocolate [sugar, milk, cocoa butter, chocolate, soya lecithin, barley malt powder, vanillin ], vegetable oil, sugar, chocolate, cocoa butter, milk, soya lecithin, barley malt powder, artificial flavors.",Snacks
"sugar, spices and spice extractives, salt, dextrose, corn starch, dehydrated onion, soybean oil, lemon juice powder, dehydrated garlic, natural and artificial flavoring, hydrolyzed soy protein, silicon dioxide .",Meals
"peanuts, peanut oil, salt.",Snacks
"enriched long grain parboiled rice [long grain rice, iron, thiamin and folate ].",Plant-based foods and beverages
"purified deionized water from local municipal source, electrolytes .",Beverages
"unbleached untreated enriched wheat flour, water, sea salt, yeast, malted barley .",Plant-based foods and beverages
"wheat flour, butter, chocolate chip, vanilla and salt), brown sugar, sugar, eggs, moisturelok vanilla extract, salt, baking soda, ginger.",Snacks
"whole wheat flour, water, yeast, bulgur wheat, sugar, wheat gluten, wheat, wheat bran, olive oil, sea salt, leavening, preservatives, grain vinegar, natural flavors, mono glycerides, citric acid, cornstarch, datem, cellulose gum, xanthan gum, soy lecithin .",Plant-based foods and beverages
"american cheese, water, skim milk cheese, whey, milk protein concentrate, calcium phosphate, sodium citrate, salt, sorbic acid as a preservative, annatto and oleoresin paprika .",Dairies
"made of sorbitol, gum base, glycerol, natural and artificial flavors; less than of hydrogenated starch hydrolysate, aspartame, mannitol, acesulfame k, soy lecithin, colors, bht .",Snacks
"corn syrup solids, partially hydrogenated soybean oil, sodium caseinate, dipotassium phosphate monoand diglycerides, silicon dioxide, artificial color, sodium stearoyl lactylate, soy lecithin, artificial flavor",Plant-based foods and beverages
"nutmilk, cane sugar, contains or less of vitamin and mineral blend, sea salt, natural flavor, gellan gum.",Plant-based foods and beverages
"pork meat, vinegar, paprika, red pepper, salt, black pepper, garlic powder, cumin, oregano.",Meats and their products
"turkey breast, water, modified cornstarch, contains less than of vinegar, salt, cultured dextrose, sugar, sodium phosphates, carrageenan, coated with cracked black pepper",Meats and their products
"water, roasted turkey concentrate, modified corn starch, enriched flour, butter, cream, turkey fat, sea salt, spices, granulated onion, granulated garlic.",Condiments
"enriched flour, water, white rye flour, yeast, ground caraway seeds, contains less than of each of the following soybean oil, salt, cultured wheat flour, sugar, wheat flour, vinegar, wheat gluten, datem, vegetable oils, monoglycerides, seasoning blend, enzymes, lactic acid, caramel color with sulfites, acetic acid, citric acid, polysorbate, soy lecithin .",Plant-based foods and beverages
"almonds, organic coconut flakes, organic honey, organic coconut sugar, organic chia seeds, organic coconut oil, organic shredded coconut, organic pure ground vanilla beans, sea salt",Snacks
"peanut butter, sugar, whole wheat flour, palm oil and high oleic canola oil, palm and palm kernel oil, defatted peanut flour, calcium caseinate, dextrose, fructose. contains or less of each of the following water, soybean oil, corn starch, salt, colors, emulsifiers, cocoa, baking soda, citric acid, stevia leaf extract, vanillin, whey, soy flour, egg whites .",Snacks
"konjac powder, oat powder, water, sorbic acid, calcium hydroxide.",Plant-based foods and beverages
"carbonated water, high fructose corn syrup, citric acid, potassium benzoate, natural and artificial flavor, potassium citrate, aspartame, acesulfame potassium, gum acacia, red .",Beverages
"roasted peanuts, sweetened dried cranberries, raisins, roasted almonds, sweetened dried cranberries blueberry flavor, roasted cashews, dried tart cherries, , dried blueberries, natural flavor, cottonseed oil.",Snacks
"whole grain corn, corn meal, sugar, honey, salt, brown sugar syrup, caramel color, baking soda, natural flavor. vitamin e added to preserve freshness. vitamins and minerals calcium carbonate, iron and zinc, vitamin c, ab vitamin, vitamin be, vitamin b, , vitamin a, vitamin b, a b vitamin, vitamin b, vitamin d.",Plant-based foods and beverages
"organic adzuki beans, water, sea salt.",Plant-based foods and beverages
"oranges, water, sugar, salt, red pepper flakes, allspice, rosemary.",Salted snacks
"enriched bleached wheat flour, sugar, margarine, fructose, eggs, invert sugar, modified food starch, contains or less of red lake, natural flavors, leavening, salt, corn starch, soy lecithin, whey .",Snacks
"hass avocado, vinegar, jalapeno pepper, dehydrated onion, salt, granulated garlic.",Condiments
"green olives, water, salt, citric acid, ascorbic acid.",Plant-based foods and beverages
"water, salt, sugar, sodium phosphates, sodium ascorbate, sodium nitrite",Meats and their products
"ham, water, less than of salt, sugar, sodium phosphates, sodium ascorbate, potassium lactate, modified corn starch, sodium nitrite, potassium chloride, caramel color.",Meats and their products
"cured with water, sugar, salt, natural smoke flavoring, maple flavor, , sodium phosphate, sodium bychorbate, sodium nitrite.",Snacks
"milk chocolate and vanilla), white confection, soy lecithin, vanilla, salt), peanut butter, confectionary chips .",Snacks
"popcorn kernels, white cheddar, whey, partially hydrogenated soybean oil, maltodextrin, reduced lactose whey, salt, disodium phosphate, bleu cheese, canola oil, and sea salt.",Snacks
"whole grain oat flour, sugar corn flour, whole grain wheat flour, rice? flour, salt, tripotassium phosphate, cinnamon, natural flavors, color, mixed tocopherols added to preserve freshness. vitamins and minerals calcium carbonate, reduced iron, niacinamide, zinc oxide, ? pyridoxine hydrochloride, riboflavin, folic acid, thiamin mononitrate? .",Plant-based foods and beverages
"dough, tomato sauce, mozzarella cheese, cherry tomato, arugula, grana padano dop cheese, emmenthal cheese, provolone cheese, pecorino romano dop cheese .",Meals
"wild caught salmon. lactic acid, sea salt. cracked pepper. celery powder. onion powder. garlic powder",Snacks
"enriched flour, water, yeast, high fructose corn syrup, soybean oil, contains less than of each of the following salt, wheat flour, calcium propionate, guar gum, vegetable oils, sodium stearoyl lactylate, calcium sulfate, enzymes, ascorbic acid, ammonium sulfate, sunflower lecithin.",Plant-based foods and beverages
whole durum wheat flour.,Plant-based foods and beverages
"colby and monterey jack cheeses, potato starch, corn starch and cellulose powder to prevent caking, natamycin .",Dairies
"sugar, fructose, citric acid, contains or less of natural flavor, magnesium oxide, sodium citrate, potassium citrate, vitamin c, color .",Beverages
"filtered water, organic celery juice, organic lemon juice, organic agave syrup, organic cucumber juice, organic spinach juice, organic romaine lettuce juice, organic kale juice, organic parsley juice.",Beverages
"colby cheese, monterey jack cheese, anticake, natamycin",Dairies
"cream, milk, cane sugar, non fat milk solids, organic egg yolks, r.r. lochhead vanilla, nutmeg, allspice, rum",Desserts
"brownie mix [sugar, enriched flour, bleached, cocoa processed with alkali, partially hydrogenated soybean and cottonseed oil, soybean oil, corn syrup solids, egg yolk, egg white, salt, baking soda, artificial flavor, nonfat milk, soy flour ], icing [sugar, vegetable shortening, water, contains less than of the following, corn syrup, salt, natural and artificial flavor, guar gum, potassium sorbate and sodium benzoate, citric acid], water, red sprinkles [sugar, corn starch, partially hydrogenated vegetable oil, soy lecithin, red lake, dextrin, confectioners glaze, yellow lake, natural and artificial flavor, carnauba wax], blue sprinkles [sugar, corn starch, partially hydrogenated vegetable oil, soy lecithin, dextrin, confectioners glaze, blue lake, natural and artificial flavor, carnauba wax].",Snacks
"dates, brown rice syrup, rolled oats, dried blueberries, almonds, dark chocolate, cane sugar, soy protein, crisp rice, pumpkin seeds, dried kale, sesame seeds, freeze dried strawberries, sea salt, natural flavors.",Snacks
"organic wheat flour, organic honey, yeast, salt, organic rosemary, organic olive oil",Snacks
"beets, water, salt.",Plant-based foods and beverages
"oats, brown rice syrup, prebiotic fiber, organic quinoa, unsweetened dried cherries, organic tapioca syrup, flaxseed, soybeans, buckwheat, energysmart, canola oil, brown sugar, water, organic agave syrup, cane syrup, water, millet, organic sunbutter, milk protein concentrate, natural flavor, soy protein isolate, pomegranate juice, sea salt, mixed tocopherols from sunflower.",Snacks
"pork, mechanically separated turkey, water, contains or less soy protein concentrate, sodium lactate, salt, spices, sodium phosphates, dextrose, sugar, monosodium glutamate, sodium diacetate, flavorings, bht, citric acid, caramel color.",Meats and their products
"white grape juice concentrate, apricots, fruit pectin.",Plant-based foods and beverages
"pork, sea salt, water, spices, flavorings, dextrose, celery powder, lactic acid starter culture.",Meats and their products
"organic ground blue corn with a trace of lime, organic vegetable oil, sea salt.",Snacks
"distilled water, electrolytes .",Beverages
"organic garbanzo beans, tahini, garlic, olive oil, roasted red peppers, tomato paste, balsamic vinegar, sugar, salt, spices, citric acid.",Salted snacks
"cultured pasteurized milk, sugar, apricots, mangos, tapioca starch, pectin, pure maple syrup, natural flavor. contains live active cultures s. thermophilus, l. bulgaricus, l. acidophilus and bifidus.",Dairies
"filtered water, pure cane sugar, lime juice concentrate, poteet strawberry puree and natural strawberry flavoring.",Plant-based foods and beverages
"consist of chocolate {sugar, chocolate, chocolate processed with alkali, cocoa butter, whole milk, milk fat, soy lecithin, vanillin }, corn syrup, sugar, brown sugar, condensed milk, dairy cream, cashews, peanuts, cherries {cherries, sugar, water, citric acid, sodium benzoate and potassium sorbate, sulfur dioxide, natural flavor, fd&c red #}, butter, coconut with sodium metabisulfite, palm kernel oil, molasses, whole milk, nonfat milk solids, invert sugar, almonds, white chocolate {sugar, cocoa butter, whole milk, soy lecithin, artificial flavor, salt}, sorbitol, salt, gum arabic, egg albumen, tapioca flour, honey, raisins, food starch modified, citric acid, sorbic acid, apricots with sulfur dioxide, natural and artificial flavors, soy lecithin, pecans, walnuts, spices, cocoa powder, confectioner's glaze, sodium benzoate and potassium sorbate, mono and diglycerides with citric acid, tocopherols, fd&c colors, and invertase .",Snacks
"vegetable oil, corn syrup solids, sodium caseinate, dipotassium phosphate, contains less than of monoglycerides, silicon dioxide, salt, sucralose, soy lecithin, acesulfame potassium, natural and artificial flavors.",Plant-based foods and beverages
"dark chocolate, peanut butter .",Snacks
"whole grain corn flour, vegetable oil, brown rice flour, flaxseed, cane sugar, chia seeds, corn bran, quinoa grains, maltodextrin, sriracha seasoning .",Snacks
"water, pineapple juice concentrate, ascorbic acid .",Plant-based foods and beverages
"sweetened dried cranberries, sunflower nuts, cashews, pumpkin seeds, almonds, dried apples, vegetable oil .",Snacks
"sugar, corn syrup, adipic acid, hydrogenated palm kernel & palm oil, mono & diglycerides, natural & artificial flavors, artificial colors fd&c red, yellow, yellow, blue .",Snacks
"pork, water, salt, spices and sugar.",Meats and their products
"rotisserie white meat chicken, dressing, celery, cranberries, pecans .",Meals
"pasteurized milk, cream, culture, enzymes, salt, dill.",Dairies
"potatoes, vegetable oil, salt, seasoning, disodium inosinate and disodium guanylate, safflower oil, silicon dioxide).",Snacks
"sugar, palm kernel oil and hydrogenated palm kernel oil, whole milk solids, reduced mineral whey powder nonfat dry milk solids, soya lecithin, artificial color, salt and artificial flavor.",Snacks
"todarodes squid rings, wheat flour, corn starch, modified corn starch, wheat protein, salt, black pepper, disodium dihydrogen pyrophosphate, sodium bicarbonate, guar gum, yeast, water",Frozen foods
"popping corn, palm oil, less than of salt, sucralose, tbhq and citric acid .",Snacks
"red onion, green bell pepper, red bell pepper, zucchini, grape tomato, yellow squash.",Plant-based foods and beverages
"crispy seasoned chicken natural flavors, yeast extract, salted mirin [sake, sugar, water, salt, yeast extract], soy sauce, sauce . contains egg, soy, wheat .",Frozen foods
"enriched flour, margarine, shortening (made from partially hydrogenated soybean and cottonseed oils, butter flavor, whey powder, sugar, whole eggs .",Snacks
"crushed tomatoes, jalapeno peppers, water, onions, distilled vinegar, salt, dehydrated onion, dehydrated garlic, natural flavor.",Condiments
"unbleached wheat flour, granulated sugar, whole eggs, butter, water, canola oil, all natural chocolate, yeast, dutch coco, milk powder, sea salt.",Plant-based foods and beverages
"halal beef, water, seasoning, salt, sodium lactate, mustard, sodium nitrite.",Meats and their products
"tomatoes, milk, water, contains or less of butter, sugar, basil, cornstarch, salt, spices.",Meals
"sugar, citric acid, instant tea, caramel color, natural lemon flavor with other natural flavors, artificial color .",Beverages
"mechanically separated chicken, pork hearts, pork, water, corn syrup, salt. contains or less of dextrose, cereal, beef, spices, sodium acetate, sodium diacetate, flavorings, hydrolyzed soy protein, sodium erythorbate, sodium nitrite, red #, annatto, synthetic iron oxide.",Meats and their products
"sugar, enriched wheat flour, vegetable oil, cocoa powder, nonfat dry milk, whey powder, salt, corn syrup, vital wheat gluten, sodium bicarbonate, yeast, soy lecithin, vanillin, cornstarch, confectioner's glaze, carnauba wax, artificial colors including red, blue, red, yellow and blue",Snacks
"enriched wheat flour, water, lowmoisture partskim mozzarella cheese, cooked italian sausage, tomato paste, sugar, or less of vegetable oil, wheat gluten, degerminated white corn meal, yeast, salt, degerminated yellow corn meal, datem, baking soda, spices, wheat flour, enzymes, dried garlic, ascorbic acid .",Meals
"nonfat milk, sugar, natural and artificial flavors, red, blue, carrageenan, guar gum, vitamins a palmitate and d added.",Dairies
"organic corn flour, organic rice flour.",Plant-based foods and beverages
"for ice milk fruit sticks ice cream mix, sugar, horchata flavor, vanilla and strawberry special flavor.",Desserts
"water, wheat flour, beans, vegetable oil, pasteurized process cheddar cheese blend pasteurized process cheddar cheese blend, water, soybean oil, modified potato starch, maltodextrin, sodium phosphates, salt, enzymes, lactic acid, vegetable coloring), contains or less modified food starch, salt, jalapeno peppers, cultured sugar, dough conditioners, glucono deltalactone, flavor, spices.",Frozen foods
"mango pop [water, maltodextrin, high fructose corn syrup, corn syrup, sugar, contains percent or less of the following citric acid, malic acid, locust bean gum, guar gum, ascorbic acid, natural flavor, yellow, yellow ], pineapple pop [water, maltodextrin, high fructose corn syrup, corn syrup, sugar, contains percent of the following citric acid, malic acid, locust bean gum, guar gum, ascorbic acid, natural flavor, yellow ], strawberry banana pop [water, maltodextrin, high fructose corn syrup, corn syrup, sugar, contains percent of the following citric acid, malic acid, locust bean gum, beet juice concentrate, natural flavor, guar gum, ascorbic acid, red ], island punch pop [water, maltodextrin, high fructose corn syrup, corn syrup, sugar, contains percent of the following citric acid, malic acid, locust bean gum, guar gum, red, ascorbic acid, cherry juice concentrate, natural and artificial flavor, cranberry juice concentrate].",Desserts
"skim milk, whey, sugar, corn syrup, cocoa processed with alkali, coconut oil, mono & diglycerides, guar gum, dextrose, cellulose gum, xanthan gum.",Desserts
"enriched wheat flour, thiamine mononitrate, riboflavin, folic acid), soybean oil, sesame seeds, bulgar wheat, salt, garlic powder, beet powder, turmeric .",Snacks
"whole grain rolled oats, oat flour, salt, calcium carbonate, natural and artificial flavors‡, guar gum, caramel color, aspartame, acesulfame potassium, ferric phosphate, niacinamide, pyridoxine hydrochloride, riboflavin, vitamin a palmitate, thiamine mononitrate, folic acid.",Plant-based foods and beverages
"enriched bleached flour, jalapeno jack cheese {cultured pasteurized milk, salt, red and green jalapeno peppers, enzymes}, cooked chicken {chicken breast meat, water, salt}, water, spinach, corn, red bell pepper, enriched durum flour {wheat flour, niacin, ferrous sulfate, thiamin mononitrate [vitamin b], riboflavin [vitamin b], folic acid}, black beans, poblano chiles, contains less than of seasoning {spices, salt, dehydrated onion and garlic, corn flour, citric acid, oleoresin paprika}, binder {corn starch, methyl cellulose, egg white powder, xanthan gum, guar gum}, salt, jalapeno peppers {jalapenos, water, vinegar, and salt}, garlic, spices, sugar, dried whole eggs, wheat protein, paprika, methylcellulose, cottonseed oil.",Frozen foods
"almondmilk, cane sugar, high oleic sunflower oil, pea protein, potassium citrate, salt, baking soda, sunflower lecithin, natural flavor, gellan gum",Plant-based foods and beverages
"glutionous rice, soy sauce, sugar, fish extract, water, salt, monosodium glutamate glucose, hydrolyzed vegetable protein, bonito powder, sugar, xanthan gum, disodium inosinate, disodium guanylate), caramel color, modified tapioca starch, chill.",Snacks
"distilled vinegar, water, # grade mustard seed, salt, turmeric, paprika, spices.",Condiments
"whole grain blend, enriched flour [ wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola oil, sugar, whole grain wheat flour, evaporated cane sugar, malt syrup, invert sugar, baking soda, salt, soy lecithin, disodium pyrophosphate, datem, ferric orthophosphate, niacinamide, pyridoxine hydrochloride, riboflavin, thiamin mononitrate",Snacks
"organic tomato puree, organic dried black beans, organic jalapeno peppers, organic red bell peppers, sea salt, organic sugar, organic lime juice concentrate, organic white vinegar, organic spices, organic chipotle powder, organic onion powder, organic dried garlic.",Condiments
"potatoes, vegetable oil, dextrose, maltodextrin, salt, spices, onion powder, yeast extract, natural flavor, garlic powder, citric acid, and extractives of paprika.",Snacks
"brown sugar, flake salt, ground ancho chili pepper, coriander, smoked paprika, black pepper, cumin, cayenne pepper.",Condiments
"apples, water, dextrin, apple concentrate, calcium lactate, natural flavor and ascorbic acid .",Snacks
"ice cream milkfat and nonfat milk, corn syrup, sugar, whey, contains less than of mono and diglycerides, guar gum, locust bean gum, polysorbate, carrageenan, natural and artificial flavor, annatto . coating coconut oil, sugar, cocoa and cocoa processed with alkali, whey, nonfat milk, chocolate liquor, soybean oil, soy lecithin, natural and artificial flavor.",Desserts
"organic dryroasted cashews, organic sunflower oil.",Plant-based foods and beverages
"cultured pasteurized grade a nonfat milk, sugar, fructose, modified cornstarch, bittersweet chocolate pieces, blueberry puree, kosher gelatin, nonfat milk solids, natural flavors, concentrated fruit & vegetable juice, pectin, malic acid, citric acid, guar gum, potassium sorbate, sucralose, acesulfame k, sodium citrate, calcium citrate, vitamin a palmitate and vitamin d.",Dairies
"cured with water, salt, sodium phosphate, brown sugar sodium nitrate",Meats and their products
